week,page,page_type,clicks,impressions,position,CTR,TrafficValue,RankStrength,VisibilityScore,Top3Flag,Top10Flag,Page2Flag,sessions,users,engaged_sessions,engagement_rate,average_session_duration,conversions,revenue,purchases,add_to_carts,checkouts,OrganicConversionRate,RevenuePerOrganicSession,RevenuePerOrganicClick,CartRate,CheckoutRate
2026-06-29/2026-07-05,https://demo.example.com/page-007,Demo Category 01,0.0,8.549999999999999,5.4,0.0,0.0,0.1851851851851851,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29/2026-07-05,https://demo.example.com/page-008,Demo Category 01,0.8099999999999999,0.95,17.0,0.8526315789473684,0.445,0.0588235294117647,1.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29/2026-07-05,https://demo.example.com/page-009,Demo Category 01,0.0,1.9,7.5,0.0,0.0,0.1333333333333333,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29/2026-07-05,https://demo.example.com/page-010,Demo Category 01,0.8099999999999999,16.15,3.607142857142857,0.05015479876160991,0.445,0.2772277227722772,1.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29/2026-07-05,https://demo.example.com/page-011,Demo Category 01,0.0,5.699999999999999,4.625,0.0,0.0,0.2162162162162162,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29/2026-07-05,https://demo.example.com/page-013,Demo Category 01,0.0,2.8499999999999996,14.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29/2026-07-05,https://demo.example.com/page-014,Demo Category 01,0.0,1.9,11.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06/2026-07-12,https://demo.example.com/,Demo Category 01,1999.8899999999999,16801.7,2.776338101925764,0.11902902682466654,1098.705,0.3601866787428972,2468.9999999999995,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06/2026-07-12,https://demo.example.com/page-006,Demo Category 01,0.8099999999999999,13.299999999999999,5.7333333333333325,0.06090225563909774,0.445,0.1744186046511628,1.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06/2026-07-12,https://demo.example.com/page-007,Demo Category 01,0.0,9.5,5.857142857142857,0.0,0.0,0.1707317073170731,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06/2026-07-12,https://demo.example.com/page-009,Demo Category 01,0.8099999999999999,4.75,7.833333333333334,0.17052631578947366,0.445,0.1276595744680851,1.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06/2026-07-12,https://demo.example.com/page-010,Demo Category 01,0.8099999999999999,10.45,1.3333333333333333,0.07751196172248803,0.445,0.75,1.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06/2026-07-12,https://demo.example.com/page-011,Demo Category 01,0.0,3.8,7.166666666666667,0.0,0.0,0.1395348837209302,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06/2026-07-12,https://demo.example.com/page-013,Demo Category 01,0.0,6.6499999999999995,12.444444444444445,0.0,0.0,0.0803571428571428,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-06/2026-07-12,https://demo.example.com/page-014,Demo Category 01,0.0,4.75,8.0,0.0,0.0,0.125,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13/2026-07-19,https://demo.example.com/,Demo Category 01,1288.7099999999998,14763.949999999999,2.5079616268403595,0.08728761611899254,707.995,0.3987301836271889,1591.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13/2026-07-19,https://demo.example.com/page-002,Demo Category 01,0.0,0.95,10.0,0.0,0.0,0.1,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13/2026-07-19,https://demo.example.com/page-005,Demo Category 01,0.0,0.95,80.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13/2026-07-19,https://demo.example.com/page-006,Demo Category 01,0.8099999999999999,12.35,2.357142857142857,0.06558704453441296,0.445,0.4242424242424242,1.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13/2026-07-19,https://demo.example.com/page-007,Demo Category 01,0.0,9.5,5.75,0.0,0.0,0.1739130434782608,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13/2026-07-19,https://demo.example.com/page-009,Demo Category 01,0.0,2.8499999999999996,8.666666666666666,0.0,0.0,0.1153846153846153,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13/2026-07-19,https://demo.example.com/page-011,Demo Category 01,0.0,1.9,6.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13/2026-07-19,https://demo.example.com/page-012,Demo Category 01,0.0,1.9,8.0,0.0,0.0,0.125,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13/2026-07-19,https://demo.example.com/page-013,Demo Category 01,0.0,7.6,9.958333333333332,0.0,0.0,0.100418410041841,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13/2026-07-19,https://demo.example.com/page-014,Demo Category 01,0.0,3.8,7.75,0.0,0.0,0.1290322580645161,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13/2026-07-19,https://demo.example.com/page-015,Demo Category 01,0.0,3.8,8.75,0.0,0.0,0.1142857142857142,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20/2026-07-26,https://demo.example.com/,Demo Category 01,1197.1799999999998,13868.099999999999,3.0537344838827942,0.08632617301577,657.71,0.3274678939108384,1478.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20/2026-07-26,https://demo.example.com/page-006,Demo Category 01,0.8099999999999999,12.35,3.972222222222223,0.06558704453441296,0.445,0.2517482517482517,1.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20/2026-07-26,https://demo.example.com/page-007,Demo Category 01,0.0,9.5,6.4,0.0,0.0,0.15625,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20/2026-07-26,https://demo.example.com/page-010,Demo Category 01,1.6199999999999999,3.8,3.333333333333333,0.4263157894736842,0.89,0.3,2.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20/2026-07-26,https://demo.example.com/page-011,Demo Category 01,0.0,2.8499999999999996,8.5,0.0,0.0,0.1176470588235294,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20/2026-07-26,https://demo.example.com/page-013,Demo Category 01,0.0,6.6499999999999995,7.625,0.0,0.0,0.1311475409836065,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20/2026-07-26,https://demo.example.com/page-014,Demo Category 01,0.0,3.8,10.333333333333334,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27/2026-08-02,https://demo.example.com/,Demo Category 01,1266.84,14432.4,4.942768945652707,0.0877775006235969,695.98,0.2023157487220853,1564.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27/2026-08-02,https://demo.example.com/page-006,Demo Category 01,0.0,38.949999999999996,11.21031746031746,0.0,0.0,0.0892035398230088,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27/2026-08-02,https://demo.example.com/page-007,Demo Category 01,0.0,21.849999999999998,6.397619047619047,0.0,0.0,0.1563081503535541,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27/2026-08-02,https://demo.example.com/page-009,Demo Category 01,0.0,8.549999999999999,9.583333333333332,0.0,0.0,0.1043478260869565,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27/2026-08-02,https://demo.example.com/page-010,Demo Category 01,0.8099999999999999,0.95,1.0,0.8526315789473684,0.445,1.0,1.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27/2026-08-02,https://demo.example.com/page-011,Demo Category 01,0.0,1.9,5.0,0.0,0.0,0.2,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27/2026-08-02,https://demo.example.com/page-013,Demo Category 01,0.0,16.15,5.333333333333334,0.0,0.0,0.1874999999999999,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27/2026-08-02,https://demo.example.com/page-014,Demo Category 01,0.0,11.399999999999999,9.483333333333333,0.0,0.0,0.1054481546572935,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03/2026-08-09,https://demo.example.com/,Demo Category 01,1242.54,13686.65,2.736849663657213,0.09078481586071098,682.63,0.3653836062970715,1534.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03/2026-08-09,https://demo.example.com/page-002,Demo Category 01,0.0,0.95,42.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03/2026-08-09,https://demo.example.com/page-006,Demo Category 01,0.8099999999999999,15.2,4.61904761904762,0.053289473684210525,0.445,0.2164948453608247,1.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03/2026-08-09,https://demo.example.com/page-007,Demo Category 01,0.0,5.699999999999999,5.416666666666667,0.0,0.0,0.1846153846153846,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03/2026-08-09,https://demo.example.com/page-009,Demo Category 01,0.0,2.8499999999999996,10.5,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03/2026-08-09,https://demo.example.com/page-013,Demo Category 01,0.0,3.8,2.833333333333333,0.0,0.0,0.3529411764705882,0.0,0.89,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03/2026-08-09,https://demo.example.com/page-014,Demo Category 01,0.0,0.95,9.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03/2026-08-09,https://demo.example.com/page-015,Demo Category 01,0.0,0.95,10.0,0.0,0.0,0.1,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10/2026-08-16,https://demo.example.com/,Demo Category 01,1637.82,17227.3,3.507292556599132,0.09507119513794965,899.79,0.28512021277451,2022.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10/2026-08-16,https://demo.example.com/page-003,Demo Category 01,0.0,0.95,10.0,0.0,0.0,0.1,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10/2026-08-16,https://demo.example.com/page-004,Demo Category 01,0.0,0.95,10.0,0.0,0.0,0.1,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10/2026-08-16,https://demo.example.com/page-006,Demo Category 01,0.8099999999999999,17.099999999999998,5.4071428571428575,0.04736842105263158,0.445,0.1849405548216644,1.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10/2026-08-16,https://demo.example.com/page-007,Demo Category 01,0.8099999999999999,9.5,5.916666666666667,0.08526315789473683,0.445,0.1690140845070422,1.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10/2026-08-16,https://demo.example.com/page-009,Demo Category 01,0.0,0.95,12.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10/2026-08-16,https://demo.example.com/page-012,Demo Category 01,0.0,1.9,8.0,0.0,0.0,0.125,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10/2026-08-16,https://demo.example.com/page-013,Demo Category 01,0.0,7.6,3.5,0.0,0.0,0.2857142857142857,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10/2026-08-16,https://demo.example.com/page-014,Demo Category 01,0.0,2.8499999999999996,9.666666666666666,0.0,0.0,0.1034482758620689,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10/2026-08-16,https://demo.example.com/page-015,Demo Category 01,0.0,1.9,9.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
