Feature,Importance,Model,Algorithm,ForecastFamily
position_change,162.72,Next_Impressions,LightGBM,RecursiveDailyML
checkouts,146.16,Next_Impressions,LightGBM,RecursiveDailyML
clicks_lag_7_avg,144.72,Next_Impressions,LightGBM,RecursiveDailyML
OrganicConversionRate,136.07999999999998,Next_Impressions,LightGBM,RecursiveDailyML
engagement_rate,131.04,Next_Impressions,LightGBM,RecursiveDailyML
CheckoutRate,118.8,Next_Impressions,LightGBM,RecursiveDailyML
CTR_lag_7_avg,113.03999999999999,Next_Impressions,LightGBM,RecursiveDailyML
clicks_change,113.03999999999999,Next_Impressions,LightGBM,RecursiveDailyML
ctr_change,106.56,Next_Impressions,LightGBM,RecursiveDailyML
clicks_lag_1,97.92,Next_Impressions,LightGBM,RecursiveDailyML
clicks,96.47999999999999,Next_Impressions,LightGBM,RecursiveDailyML
average_session_duration,95.03999999999999,Next_Impressions,LightGBM,RecursiveDailyML
position_lag_1,90.72,Next_Impressions,LightGBM,RecursiveDailyML
CartRate,89.28,Next_Impressions,LightGBM,RecursiveDailyML
position_lag_7_avg,85.67999999999999,Next_Impressions,LightGBM,RecursiveDailyML
RevenuePerOrganicClick,74.88,Next_Impressions,LightGBM,RecursiveDailyML
month_num,71.28,Next_Impressions,LightGBM,RecursiveDailyML
revenue,70.56,Next_Impressions,LightGBM,RecursiveDailyML
CTR_lag_1,67.67999999999999,Next_Impressions,LightGBM,RecursiveDailyML
position,66.96,Next_Impressions,LightGBM,RecursiveDailyML
CTR,61.919999999999995,Next_Impressions,LightGBM,RecursiveDailyML
RankStrength,51.12,Next_Impressions,LightGBM,RecursiveDailyML
add_to_carts,46.08,Next_Impressions,LightGBM,RecursiveDailyML
RevenuePerOrganicSession,29.52,Next_Impressions,LightGBM,RecursiveDailyML
purchases,20.16,Next_Impressions,LightGBM,RecursiveDailyML
TrafficValue_lag_7_avg,12.959999999999999,Next_Impressions,LightGBM,RecursiveDailyML
is_weekend,11.52,Next_Impressions,LightGBM,RecursiveDailyML
TrafficValue_lag_1,10.799999999999999,Next_Impressions,LightGBM,RecursiveDailyML
TrafficValue,5.04,Next_Impressions,LightGBM,RecursiveDailyML
VisibilityScore,2.16,Next_Impressions,LightGBM,RecursiveDailyML
quarter,1.44,Next_Impressions,LightGBM,RecursiveDailyML
Top3Flag,0.0,Next_Impressions,LightGBM,RecursiveDailyML
Top10Flag,0.0,Next_Impressions,LightGBM,RecursiveDailyML
Page2Flag,0.0,Next_Impressions,LightGBM,RecursiveDailyML
